,compound_id,nh,pka,name,compound_id_stan
0,CHB_15346,32.0,10.75,CoA,1
1,CHB_15346,33.0,5.89,CoA,1
2,CHB_15346,34.0,3.29,CoA,1
3,CHB_15346,35.0,2.03,CoA,1
4,CHB_15346,36.0,1.43,CoA,1
5,CHB_15346,37.0,0.73,CoA,1
6,CHB_15351,34.0,12.61,acetyl-CoA,2
7,CHB_15351,35.0,5.89,acetyl-CoA,2
8,CHB_15351,36.0,3.29,acetyl-CoA,2
9,CHB_15351,37.0,2.03,acetyl-CoA,2
10,CHB_15351,38.0,1.43,acetyl-CoA,2
11,CHB_15351,39.0,0.73,acetyl-CoA,2
12,CHB_15361,4.0,2.49,pyruvate,3
13,CHB_15422,12.0,12.6,ATP,5
14,CHB_15422,13.0,7.47,ATP,5
15,CHB_15422,14.0,4.67,ATP,5
16,CHB_15422,15.0,2.56,ATP,5
17,CHB_15422,16.0,1.54,ATP,5
18,CHB_15422,17.0,0.79,ATP,5
19,CHB_16027,12.0,12.46,AMP,6
20,CHB_16027,13.0,6.64,AMP,6
21,CHB_16027,14.0,3.37,AMP,6
22,CHB_16027,15.0,1.73,AMP,6
23,CHB_16087,6.0,6.02,isocitrate,7
24,CHB_16087,7.0,5.01,isocitrate,7
25,CHB_16087,8.0,3.47,isocitrate,7
26,CHB_16335,13.0,12.36,adenosine,8
27,CHB_16335,14.0,3.61,adenosine,8
28,CHB_16436,25.0,12.56,CDPcholine,9
29,CHB_16436,26.0,3.26,CDPcholine,9
30,CHB_16436,27.0,1.85,CDPcholine,9
31,CHB_16474,26.0,12.75,NADPH,10
32,CHB_16474,27.0,5.72,NADPH,10
33,CHB_16474,28.0,3.28,NADPH,10
34,CHB_16474,29.0,2.02,NADPH,10
35,CHB_16474,30.0,1.39,NADPH,10
36,CHB_16474,31.0,0.59,NADPH,10
37,CHB_16761,12.0,12.46,ADP,12
38,CHB_16761,13.0,7.05,ADP,12
39,CHB_16761,14.0,4.37,ADP,12
40,CHB_16761,15.0,2.05,ADP,12
41,CHB_16761,16.0,1.3,ADP,12
42,CHB_16810,5.0,5.12,2-oxoglutarate,13
43,CHB_16810,6.0,2.45,2-oxoglutarate,13
44,CHB_17202,10.0,12.46,IMP,14
45,CHB_17202,11.0,9.66,IMP,14
46,CHB_17202,12.0,6.49,IMP,14
47,CHB_17202,13.0,1.41,IMP,14
48,CHB_17202,14.0,0.57,IMP,14
49,CHB_17596,11.0,12.52,inosine,15
50,CHB_17596,12.0,8.86,inosine,15
51,CHB_17677,12.0,12.56,CTP,16
52,CHB_17677,13.0,7.41,CTP,16
53,CHB_17677,14.0,5.17,CTP,16
54,CHB_17677,15.0,2.53,CTP,16
55,CHB_17677,16.0,0.94,CTP,16
56,CHB_18009,25.0,11.66,NADP,17
57,CHB_18009,26.0,6.7,NADP,17
58,CHB_18009,27.0,4.08,NADP,17
59,CHB_18009,28.0,2.02,NADP,17
60,CHB_18009,29.0,1.39,NADP,17
61,CHB_18009,30.0,0.59,NADP,17
62,CHB_18021,3.0,6.02,phosphoenolpyruvate,18
63,CHB_18021,4.0,3.55,phosphoenolpyruvate,18
64,CHB_18021,5.0,0.76,phosphoenolpyruvate,18
65,CHB_18132,14.0,6.18,O-phosphocholine,19
66,CHB_18132,15.0,1.15,O-phosphocholine,19
67,CHB_18361,1.0,9.31,diphosphate,20
68,CHB_18361,2.0,6.26,diphosphate,20
69,CHB_18361,3.0,2.25,diphosphate,20
70,CHB_18361,4.0,0.73,diphosphate,20
71,CHB_26078,1.0,12.19,orthophospate,21
72,CHB_26078,2.0,7.18,orthophospate,21
73,CHB_26078,3.0,2.13,orthophospate,21
74,CHB_30089,4.0,4.76,acetate,22
75,CHB_40595,9.0,12.75,"D-fructose 1,6-bisphosphate",23
76,CHB_40595,10.0,10.29,"D-fructose 1,6-bisphosphate",23
77,CHB_40595,11.0,7.52,"D-fructose 1,6-bisphosphate",23
78,CHB_40595,12.0,6.59,"D-fructose 1,6-bisphosphate",23
79,CHB_40595,13.0,2.75,"D-fructose 1,6-bisphosphate",23
80,CHB_40595,14.0,2.28,"D-fructose 1,6-bisphosphate",23
81,CHB_4167,11.0,12.69,D-glucose,24
82,CHB_4167,12.0,11.93,D-glucose,24
83,CHB_4170,10.0,12.69,D-glucose 6-phosphate,25
84,CHB_4170,11.0,12.27,D-glucose 6-phosphate,25
85,CHB_4170,12.0,6.5,D-glucose 6-phosphate,25
86,CHB_4170,13.0,1.38,D-glucose 6-phosphate,25
87,CHB_61553,10.0,12.73,D-fructose 6-phosphate,26
88,CHB_61553,11.0,10.28,D-fructose 6-phosphate,26
89,CHB_61553,12.0,6.29,D-fructose 6-phosphate,26
90,CHB_61553,13.0,1.25,D-fructose 6-phosphate,26
