,Aqueous species id,Compound name,Charge,ΔfG° (kJ/mol),ΔfH° (kJ/mol),ΔfS° (kJ/K/mol),Cp° (kJ/K/mol),compound_id,dgf_obs
0,CHB_16039_-5,ITP,-5,-2925.31,-3794.65,-2.915780647,,CHB_16039,-2925.31
1,CHB_17111_-5,5-phospho--D-ribose 1-diphosphate,-5,-3284.25,,,,CHB_17111,-3284.25
2,CHB_15713_-4,UTP,-4,-3313.8995440000003,-4121.942912,-2.71026228,-0.01886984,CHB_15713,-3313.8995440000003
3,CHB_18077_-4,dTTP,-4,-3180.23748,-3989.209696,-2.71339572,0.011045760000000002,CHB_18077,-3180.23748
4,CHB_17625_-4,dUTP,-4,-3173.622576,-3945.771408,-2.58986244,-0.05388992,CHB_17625,-3173.622576
5,CHB_17677_-4,CTP,-4,-3099.1641120000004,-3922.483264,-2.76150878,-0.01167336,CHB_17677,-3099.1641120000004
6,CHB_16474_-4,NADPH,-4,-3024.8,-4284.09,-4.2238335,0.495,CHB_16474,-3024.8
7,CHB_15996_-4,GTP,-4,-2996.191688,-3872.467728,-2.9391093,0.10610624,CHB_15996,-2996.191688
8,CHB_16039_-4,ITP,-4,-2982.9,-3818.6,-2.802951534,,CHB_16039,-2982.9
9,CHB_16311_-4,dCTP,-4,-2958.8871440000003,-3746.31176,-2.64110894,-0.050207999999999996,CHB_16311,-2958.8871440000003
10,CHB_16497_-4,dGTP,-4,-2853.814352,-3711.0322720000004,-2.8751934599999998,0.0677808,CHB_16497,-2853.814352
11,CHB_15422_-4,ATP,-4,-2749.046992,-3595.160576,-2.83795586,0.08928656000000001,CHB_15422,-2749.046992
12,CHB_40595_-4,"D-fructose 1,6-bisphosphate",-4,-2601.4,-3343.25,-2.488177092,,CHB_40595,-2601.4
13,CHB_16284_-4,dATP,-4,-2601.326688,-3419.675248,-2.7448357,0.052718400000000006,CHB_16284,-2601.326688
14,CHB_17808_-4,IDP,-4,-2066.44,-2797.18,-2.450913969,,CHB_17808,-2066.44
15,CHB_18361_-4,diphosphate,-4,-1919.86,-2293.47,-1.2530940801609929,-0.5819944,CHB_18361,-1919.86
16,CHB_17111_-4,5-phospho--D-ribose 1-diphosphate,-4,-3325.23,,,,CHB_17111,-3325.23
17,CHB_28907_-4,"2,3-Bisphosphoglycerate",-4,-2356.14,,,,CHB_28907,-2356.14
18,CHB_15713_-3,UTP,-3,-3357.413144,-4114.035152,-2.5377978,0.27543272,CHB_15713,-3357.413144
19,CHB_18077_-3,dTTP,-3,-3223.54188,-3980.758016,-2.53980156,0.30534832,CHB_18077,-3223.54188
