,formula,reaction_id
0,CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,rxn_0
1,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,rxn_1
2,CHB_15377 + CHB_15751 = CHB_16027 + CHB_16077,rxn_2
3,CHB_29748 = CHB_29780,rxn_3
4,CHB_16414 + CHB_16810 = CHB_11851 + CHB_29985,rxn_4
5,CHB_15603 + CHB_16810 = CHB_29985 + CHB_48430,rxn_5
6,CHB_16810 + PBC_164608 = CHB_29985 + CHS_15334833,rxn_6
7,CHB_15453 = CHB_15377 + CHB_15473,rxn_7
8,CHB_15980 + CHB_18009 = CHB_16474 + CHB_17094,rxn_8
9,CHB_18283 + CHB_26078 = CHB_16077 + CHB_4170,rxn_9
10,MAN_10201 = CHB_15343 + CHB_29052,rxn_10
11,CHB_40595 = CHB_16108 + CHB_29052,rxn_11
12,CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,rxn_12
13,CHB_15846 + CHB_16004 = CHB_15361 + CHB_16908,rxn_13
14,CHB_1148 + CHB_15846 = CHB_16763 + CHB_16908,rxn_14
15,CHB_15361 + CHB_15573 = CHB_16977 + CHB_18124,rxn_15
16,CHB_16290 = CHB_18252,rxn_16
17,CHB_32364 = CHB_15377 + CHB_30918,rxn_17
18,CHB_46994 = CHB_45506,rxn_18
19,CHB_46994 = CHB_28552,rxn_19
20,MAN_10212 = CHB_16023,rxn_20
21,MAN_10212 = MAN_10213,rxn_21
22,CHB_4167 = CHB_37721,rxn_22
23,CHB_4167 = CHB_4208,rxn_23
24,CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,rxn_24
25,CHB_86279 = CHB_17363,rxn_25
26,CHB_16087 = CHB_16891 + CHB_30031,rxn_26
27,CHB_16977 = CHB_15570,rxn_27
28,CHB_4170 = CHB_61553,rxn_28
29,CHB_16077 + CHB_16761 = CHB_15751 + CHB_26078,rxn_29
30,CHB_15377 + CHB_15846 + CHB_16927 = CHB_16810 + CHB_16908 + CHB_18019,rxn_30
31,CHB_15377 + CHB_15404 + CHB_15846 = CHB_15753 + CHB_16908 + CHB_17544,rxn_31
32,CHB_15377 + CHB_27612 = PBC_10020,rxn_32
33,CHB_15377 + CHB_15901 = CHB_18261,rxn_33
34,CHB_15377 + PBC_1002 = MAN_10131,rxn_34
35,CHB_15377 + CHS_85042 = MAN_10168,rxn_35
36,CHB_29991 = CHB_16134 + CHB_29806,rxn_36
37,CHB_15377 + CHB_29806 = CHB_15589,rxn_37
38,CHB_17835 = CHB_15377 + CHB_18021,rxn_38
39,CHB_40595 = 2 CHB_16108,rxn_39
40,CHB_17835 = CHB_17794,rxn_40
41,CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,rxn_41
42,CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,rxn_42
43,MAN_10010 = CHB_15343 + CHB_16108,rxn_43
44,CHB_15377 + PBC_11096585 = CHB_28885 + CHB_4167,rxn_44
45,CHB_15377 + PBC_14393376 = CHB_28831 + CHB_4167,rxn_45
46,CHB_15377 + MAN_10030 = CHB_35687 + CHB_4167,rxn_46
47,CHB_15377 + MAN_10100 = CHB_4167 + CHB_46645,rxn_47
48,CHB_15377 + MAN_10025 = CHB_4167 + CHB_45895,rxn_48
49,CHB_15377 + MAN_10066 = CHB_17824 + CHB_4167,rxn_49
50,CHB_15377 + PBC_11127487 = CHB_16236 + CHB_4167,rxn_50
51,CHB_15377 + CHB_320061 = CHB_17790 + CHB_4167,rxn_51
52,CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,rxn_52
53,CHB_15589 + CHB_15846 = CHB_16452 + CHB_16908,rxn_53
54,CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,rxn_54
