,coef,compound_id,reaction_id
0,-1.0,CHB_16134,rxn_0
1,-1.0,CHB_29748,rxn_0
2,1.0,CHB_15377,rxn_0
3,1.0,CHB_49197,rxn_0
4,-1.0,CHB_15422,rxn_1
5,-1.0,CHB_16919,rxn_1
6,1.0,CHB_16761,rxn_1
7,1.0,CHB_17287,rxn_1
8,-1.0,CHB_15377,rxn_2
9,-1.0,CHB_15751,rxn_2
10,1.0,CHB_16027,rxn_2
11,1.0,CHB_16077,rxn_2
12,-1.0,CHB_29748,rxn_3
13,1.0,CHB_29780,rxn_3
14,-1.0,CHB_16414,rxn_4
15,-1.0,CHB_16810,rxn_4
16,1.0,CHB_11851,rxn_4
17,1.0,CHB_29985,rxn_4
18,-1.0,CHB_15603,rxn_5
19,-1.0,CHB_16810,rxn_5
20,1.0,CHB_29985,rxn_5
21,1.0,CHB_48430,rxn_5
22,-1.0,CHB_16810,rxn_6
23,-1.0,PBC_164608,rxn_6
24,1.0,CHB_29985,rxn_6
25,1.0,CHS_15334833,rxn_6
26,-1.0,CHB_15453,rxn_7
27,1.0,CHB_15377,rxn_7
28,1.0,CHB_15473,rxn_7
29,-1.0,CHB_15980,rxn_8
30,-1.0,CHB_18009,rxn_8
31,1.0,CHB_16474,rxn_8
32,1.0,CHB_17094,rxn_8
33,-1.0,CHB_18283,rxn_9
34,-1.0,CHB_26078,rxn_9
35,1.0,CHB_16077,rxn_9
36,1.0,CHB_4170,rxn_9
37,-1.0,MAN_10201,rxn_10
38,1.0,CHB_15343,rxn_10
39,1.0,CHB_29052,rxn_10
40,-1.0,CHB_40595,rxn_11
41,1.0,CHB_16108,rxn_11
42,1.0,CHB_29052,rxn_11
43,-1.0,CHB_15361,rxn_12
44,-1.0,CHB_15422,rxn_12
45,1.0,CHB_16761,rxn_12
46,1.0,CHB_18021,rxn_12
47,-1.0,CHB_15846,rxn_13
48,-1.0,CHB_16004,rxn_13
49,1.0,CHB_15361,rxn_13
50,1.0,CHB_16908,rxn_13
51,-1.0,CHB_1148,rxn_14
52,-1.0,CHB_15846,rxn_14
53,1.0,CHB_16763,rxn_14
54,1.0,CHB_16908,rxn_14
55,-1.0,CHB_15361,rxn_15
56,-1.0,CHB_15573,rxn_15
57,1.0,CHB_16977,rxn_15
58,1.0,CHB_18124,rxn_15
59,-1.0,CHB_16290,rxn_16
60,1.0,CHB_18252,rxn_16
61,-1.0,CHB_32364,rxn_17
62,1.0,CHB_15377,rxn_17
