,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
0,anthranilate synthase,4.1.3.27,"calorimetry, spectrophotometry, and chromatography",A,chorismate(aq) + ammonia(aq) = 2-amino-2-deoxyisochorismate(aq) + H2O(l),CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,1,Keq_1,"{'CHB_16134': -1, 'CHB_49197': 1, 'CHB_29748': -1, 'CHB_15377': 1}",288.15,8.08,0.15,,9.5,,Tricine + NaOH,00BYR/GOL,mol/kg;IS=0.15;Tricine=0.0465;(Na)1(OH)1=0.030967;(Mg)1(Cl)2=0.011233;chorismate=0.00005667;ammonia=0.09178;(Cl)1=0.09178;2-amino-2-deoxyisochorismate=0.0000494;(K)2(HPO4)1=0.003;(K)1(H2PO4)1=0.002;EDTA=0.000005;DTT=0.00001,no,rxn_0
1,anthranilate synthase,4.1.3.27,"calorimetry, spectrophotometry, and chromatography",A,chorismate(aq) + ammonia(aq) = 2-amino-2-deoxyisochorismate(aq) + H2O(l),CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,2,Keq_2,"{'CHB_16134': -1, 'CHB_49197': 1, 'CHB_29748': -1, 'CHB_15377': 1}",293.15,8.0,0.15,,9.02,,Tricine + NaOH,00BYR/GOL,mol/kg;IS=0.15;Tricine=0.0467;(Na)1(OH)1=0.031;(Mg)1(Cl)2=0.01123;chorismate=0.00002413;ammonia=0.092063;(Cl)1=0.092063;2-amino-2-deoxyisochorismate=0.0000201;(K)2(HPO4)1=0.003;(K)1(H2PO4)1=0.002;EDTA=0.000005;DTT=0.00001,no,rxn_0
2,anthranilate synthase,4.1.3.27,"calorimetry, spectrophotometry, and chromatography",A,chorismate(aq) + ammonia(aq) = 2-amino-2-deoxyisochorismate(aq) + H2O(l),CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,3,Keq_3,"{'CHB_16134': -1, 'CHB_49197': 1, 'CHB_29748': -1, 'CHB_15377': 1}",298.15,7.86,0.14,,8.44,,Tricine + NaOH,00BYR/GOL,mol/kg;IS=0.14;Tricine=0.047;(Na)1(OH)1=0.0295;(Mg)1(Cl)2=0.00995;chorismate=0.0000325;ammonia=0.09255;(Cl)1=0.09255;2-amino-2-deoxyisochorismate=0.0000253;(K)2(HPO4)1=0.003;(K)1(H2PO4)1=0.002;EDTA=0.000005;DTT=0.00001,no,rxn_0
3,anthranilate synthase,4.1.3.27,"calorimetry, spectrophotometry, and chromatography",A,chorismate(aq) + ammonia(aq) = 2-amino-2-deoxyisochorismate(aq) + H2O(l),CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,4,Keq_4,"{'CHB_16134': -1, 'CHB_49197': 1, 'CHB_29748': -1, 'CHB_15377': 1}",302.75,7.76,0.14,,7.51,,Tricine + NaOH,00BYR/GOL,mol/kg;IS=0.14;Tricine=0.0471;(Na)1(OH)1=0.02953;(Mg)1(Cl)2=0.009963;chorismate=0.00002003;ammonia=0.092693;(Cl)1=0.092693;2-amino-2-deoxyisochorismate=0.0000139;(K)2(HPO4)1=0.003;(K)1(H2PO4)1=0.002;EDTA=0.000005;DTT=0.00001,no,rxn_0
4,creatine kinase,2.7.3.2,calorimetry,A,ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,5,Keq_5,"{'CHB_17287': 1, 'CHB_16919': -1, 'CHB_16761': 1, 'CHB_15422': -1}",298.15,9.0,,,0.333,,glycine + NaOH,00LIA/HUA,mol/L;creatine=0.00718;ATP=0.00141;magnesium acetate=0.00172;glycine-NaOH=0.1;phosphocreatine=0;ADP=0,no,rxn_1
5,ADPglucose phosphodiesterase,3.1.4,spectophotometry and chromatography,C,ADPglucose(aq) + H2O(l) = D-glucose 1-phosphate(aq) + AMP(aq),CHB_15377 + CHB_15751 = CHB_16027 + CHB_16077,6,Keq_6,"{'CHB_15751': -1, 'CHB_16077': 1, 'CHB_15377': -1, 'CHB_16027': 1}",298.15,7.0,,,110.0,,Hepes (0.050 mol dm-3),00ROD/BAR,mol/L;ADPglucose=0.00009;HEPES=0.05;D-glucose 1-phosphate=0.0999;AMP=0.0991,no,rxn_2
6,isochorismate synthase,5.4.99.6,chromatography,A,chorismate(aq) = isochorismate(aq),CHB_29748 = CHB_29780,7,Keq_7,"{'CHB_29748': -1, 'CHB_29780': 1}",298.15,7.34,0.31,,0.846,,Potassium phosphate (0.10M),00TEW/DAV,mol/kg;IS=0.31;(K)2(HPO4)1=0.098;(H)3(PO4)1=0.0157;(Mg)1(Cl)2=0.00175;chorismate=0.0003448;isochorismate=0.0002914;(K)1(H2PO4)1=0.003;EDTA=0.00011;DTT=0.00011;(Na)1(Cl)1=0.012,no,rxn_3
7,isochorismate synthase,5.4.99.6,chromatography,A,chorismate(aq) = isochorismate(aq),CHB_29748 = CHB_29780,8,Keq_8,"{'CHB_29748': -1, 'CHB_29780': 1}",298.15,7.34,0.3,,0.834,,Potassium phosphate (0.10M),00TEW/DAV,mol/kg;IS=0.3;(K)2(HPO4)1=0.0939;(H)3(PO4)1=0.0149;(Mg)1(Cl)2=0.00165;chorismate=0.0001908;isochorismate=0.000159;(K)1(H2PO4)1=0.003;EDTA=0.00011;DTT=0.00011;(Na)1(Cl)1=0.012;4-hydroxybenzoate=0.0004;pyruvate=0.0004,no,rxn_3
8,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,L-valine(aq) + 2-oxoglutarate(aq) = 2-oxoisovalerate(aq) + L-glutamate(aq),CHB_16414 + CHB_16810 = CHB_11851 + CHB_29985,9,Keq_9,"{'CHB_11851': 1, 'CHB_16810': -1, 'CHB_29985': 1, 'CHB_16414': -1}",298.15,7.18,0.31,,1.38,,phosphate,00TEW/GOL,mol/kg;IS=0.31;(K)2(HPO4)1=0.1006;(H)3(PO4)1=0.0199;pyridoxal 5-phosphate=0.00023;L-valine=0.003757;2-oxoglutarate=0.001636;2-oxoisovalerate=0.002912;L-glutamate=0.002912,no,rxn_4
9,branched-chain-amino-acid transferase,2.6.1.42,calorimetry and chromatography,A,L-valine(aq) + 2-oxoglutarate(aq) = 2-oxoisovalerate(aq) + L-glutamate(aq),CHB_16414 + CHB_16810 = CHB_11851 + CHB_29985,10,Keq_10,"{'CHB_11851': 1, 'CHB_16810': -1, 'CHB_29985': 1, 'CHB_16414': -1}",298.15,7.24,0.31,,1.84,,phosphate,00TEW/GOL,mol/kg;IS=0.31;(K)2(HPO4)1=0.1006;(H)3(PO4)1=0.0199;pyridoxal 5-phosphate=0.00023;L-valine=0.002061;2-oxoglutarate=0.002061;2-oxoisovalerate=0.002584;L-glutamate=0.003023,no,rxn_4
